Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
416,Men in Black: International,114.0,5.6,F. Gary Gray,"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson",2019-06-12,110000000,253020464,30035838.0,PG-13,Adventure
417,The A-Team,117.0,6.7,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel",2010-06-11,110000000,177241171,25669455.0,PG-13,Action
418,The Smurfs 2,105.0,5.3,Raja Gosnell,"Neil Patrick Harris, Jayma Mays, Katy Perry, Hank Azaria",2013-07-31,110000000,348547523,17548389.0,PG,Adventure
420,The Taking of Pelham 123,106.0,6.4,Tony Scott,"Denzel Washington, John Travolta, Luis Guzmán, Victor Gojcaj",2009-06-12,110000000,152364370,23373102.0,R,Action
421,Ender's Game,114.0,6.6,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",2013-10-25,110000000,127983283,27017351.0,PG-13,Adventure
422,Home on the Range,76.0,5.4,Will Finn,"John Sanford, Judi Dench, Cuba Gooding Jr., Jennifer Tilly, Randy Quaid",2004-04-02,110000000,76482461,13880771.0,PG,Adventure
423,Speed 2: Cruise Control,121.0,3.9,Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",1997-06-13,110000000,150468000,16158942.0,PG-13,Action
424,Kingdom of Heaven,144.0,7.3,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",2005-05-06,110000000,218674938,19635996.0,R,Action
425,Ghost in the Shell,107.0,6.3,Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",2017-03-23,110000000,167910690,18676033.0,PG-13,Action
426,Around the World in 80 Days,120.0,5.9,Frank Coraci,"Jackie Chan, Steve Coogan, Jim Broadbent, Kathy Bates",2004-06-16,110000000,72004159,7576132.0,PG,Adventure
428,Ali,157.0,6.7,Michael Mann,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles",2001-12-25,109000000,87683966,14710892.0,R,Drama
429,The Martian,144.0,8.0,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015-09-30,108000000,653609107,54308575.0,PG-13,Thriller/Suspense
430,Allied,124.0,7.1,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",2016-11-20,106000000,119266661,12701743.0,R,Drama
431,"I, Robot",115.0,7.1,Alex Proyas,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk",2004-07-16,105000000,348629585,52179887.0,PG-13,Action
432,Stuart Little,84.0,6.0,Rob Minkoff,"Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",1999-12-17,105000000,298815224,15018223.0,PG,Adventure
433,The Princess and the Frog,97.0,7.2,Ron Clements,"John Musker, Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",2009-11-25,105000000,270997378,786190.0,G,Adventure
435,Ice Age: Collision Course,94.0,5.7,Michael Thurmeier,"Galen T. Chu, Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",2016-07-01,105000000,402156682,21373064.0,PG,Adventure
436,Starship Troopers,129.0,7.3,Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey",1997-11-07,105000000,121100000,22058773.0,R,Action
438,Kingsman: The Golden Circle,141.0,6.7,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum",2017-09-19,104000000,408803696,39023010.0,R,Action
440,Gladiator,155.0,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",2000-05-04,103000000,456435588,34819017.0,R,Action
441,Gladiator,101.0,6.5,Rowdy Herrington,"James Marshall, Cuba Gooding Jr., Brian Dennehy, Richard Lexsee",2000-05-04,103000000,456435588,34819017.0,R,Action
443,A Wrinkle in Time,109.0,4.3,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling",2018-03-09,103000000,133214549,33123609.0,PG,Adventure
444,Public Enemies,140.0,7.0,Michael Mann,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",2009-07-01,102500000,212282709,25271675.0,R,Drama
445,Casino Royale,144.0,8.0,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006-11-17,102000000,594420283,40833156.0,PG-13,Action
446,Casino Royale,131.0,5.0,Val Guest,"Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge, David Niven, Peter Sellers, Ursula Andress, Orson Welles",2006-11-17,102000000,594420283,40833156.0,PG-13,Action
447,Minority Report,145.0,7.6,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",2002-06-21,102000000,358824714,35677125.0,PG-13,Action
448,Bumblebee,114.0,6.7,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",2018-12-13,102000000,465195589,21654047.0,PG-13,Adventure
449,Cloud Atlas,172.0,7.4,Tom Tykwer,"Lana Wachowski, Lilly Wachowski, Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012-10-26,102000000,130673154,9612247.0,R,Drama
450,Harry Potter and the Chamber of Secrets,161.0,7.4,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",2002-11-15,100000000,875262553,88357488.0,PG,Adventure
451,Terminator 2: Judgment Day,137.0,8.6,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",1991-07-02,100000000,515376182,31765506.0,R,Action
452,Batman Forever,121.0,5.4,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",1995-06-16,100000000,336529144,52784433.0,PG-13,Action
453,Planet of the Apes,120.0,5.7,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",2001-07-27,100000000,362211740,68532960.0,PG-13,Adventure
454,Planet of the Apes,112.0,8.0,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",2001-07-27,100000000,362211740,68532960.0,PG-13,Adventure
455,National Treasure,131.0,6.9,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",2004-11-19,100000000,331323410,35142554.0,PG,Adventure
456,Django Unchained,165.0,8.5,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",2012-12-25,100000000,449841566,30122888.0,R,Western
457,1917,119.0,8.2,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",2019-12-25,100000000,370603379,576216.0,R,Thriller/Suspense
458,Little Fockers,98.0,5.5,Paul Weitz,"Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson",2010-12-22,100000000,310650574,30833665.0,PG-13,Comedy
459,True Lies,141.0,7.3,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",1994-07-15,100000000,365300000,25869770.0,R,Action
460,American Gangster,157.0,7.8,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",2007-11-02,100000000,267985456,43565135.0,R,Drama
461,Cloudy with a Chance of Meatballs,90.0,6.9,Phil Lord,"Christopher Miller, Anna Faris, Bill Hader, Bruce Campbell, James Caan",2009-09-18,100000000,236827677,30304648.0,PG,Adventure
462,The Other Guys,107.0,6.6,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",2010-08-06,100000000,170936470,35543162.0,PG-13,Comedy
464,The Wolf of Wall Street,180.0,8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",2013-12-25,100000000,389918903,18410067.0,R,Black Comedy
465,Epic,102.0,6.6,Chris Wedge,"Amanda Seyfried, Josh Hutcherson, Beyoncé, Colin Farrell",2013-05-24,100000000,262794441,33531068.0,PG,Adventure
466,Eraser,115.0,6.2,Chuck Russell,"Arnold Schwarzenegger, Vanessa Williams, James Caan, James Coburn",1996-06-21,100000000,234400000,24566446.0,R,Action
467,The Hunchback of Notre Dame,91.0,7.0,Gary Trousdale,"Kirk Wise, Demi Moore, Jason Alexander, Mary Kay Bergman, Corey Burton",1996-06-21,100000000,325500000,21037414.0,G,Adventure
468,The Hunchback of Notre Dame,116.0,7.8,William Dieterle,"Charles Laughton, Maureen O'Hara, Cedric Hardwicke, Thomas Mitchell",1996-06-21,100000000,325500000,21037414.0,G,Adventure
469,The Emperor's New Groove,78.0,7.4,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",2000-12-15,100000000,169630573,9812302.0,G,Adventure
470,The Expendables 2,103.0,6.6,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture, Jean-Claude Van Damme",2012-08-15,100000000,311979256,28591370.0,R,Action
471,Where the Wild Things Are,101.0,6.7,Spike Jonze,"Max Records, Catherine O'Hara, Forest Whitaker, Pepita Emmerichs",2009-10-16,100000000,99123656,32695407.0,PG,Adventure
472,Eragon,104.0,5.1,Stefen Fangmeier,"Ed Speleers, Sienna Guillory, Jeremy Irons, John Malkovich",2006-12-15,100000000,249488115,23239907.0,PG,Adventure
473,Hercules,93.0,7.3,Ron Clements,"John Musker, Tate Donovan, Susan Egan, James Woods, Barbara Barrie",2014-07-23,100000000,243388614,29800263.0,PG-13,Adventure
474,Hercules,98.0,6.0,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014-07-23,100000000,243388614,29800263.0,PG-13,Adventure
475,The Tourist,103.0,6.0,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton",2010-12-10,100000000,278731369,16472458.0,PG-13,Thriller/Suspense
476,End of Days,122.0,5.8,Peter Hyams,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak",1999-11-24,100000000,212026975,20523595.0,R,Action
477,Spies in Disguise,102.0,6.8,Nick Bruno,"Troy Quane, Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado",2019-12-25,100000000,165138481,13354798.0,PG,Adventure
478,The Stepford Wives,93.0,5.3,Frank Oz,"Nicole Kidman, Bette Midler, Matthew Broderick, Glenn Close",2004-06-11,100000000,96150482,21406781.0,PG-13,Black Comedy
479,The Stepford Wives,115.0,6.9,Bryan Forbes,"Katharine Ross, Paula Prentiss, Peter Masterson, Nanette Newman",2004-06-11,100000000,96150482,21406781.0,PG-13,Black Comedy
481,Blood Diamond,143.0,8.0,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",2006-12-08,100000000,171377916,8648324.0,R,Action
482,Midway,138.0,6.7,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans",2019-11-07,100000000,126829063,17897419.0,PG-13,Action
483,Midway,132.0,6.8,Jack Smight,"Charlton Heston, Henry Fonda, James Coburn, Glenn Ford",2019-11-07,100000000,126829063,17897419.0,PG-13,Action
484,Legend of the Guardians: The Owls of Ga'Hoole,97.0,6.9,Zack Snyder,"Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay",2010-09-24,100000000,139716717,16112211.0,PG,Adventure
485,Land of the Lost,102.0,5.3,Brad Silberling,"Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone",2009-06-05,100000000,69548641,18837350.0,PG-13,Comedy
486,Peter Pan,113.0,6.8,P.J. Hogan,"Jeremy Sumpter, Jason Isaacs, Olivia Williams, Lynn Redgrave",2003-12-18,100000000,95255485,11139495.0,PG,Adventure
487,Peter Pan,77.0,7.3,Clyde Geronimi,"Wilfred Jackson, Hamilton Luske, Jack Kinney, Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson",2003-12-18,100000000,95255485,11139495.0,PG,Adventure
489,Catwoman,104.0,3.4,Pitof,"Halle Berry, Sharon Stone, Benjamin Bratt, Lambert Wilson",2004-07-23,100000000,82078046,16728411.0,PG-13,Action
490,The Expendables 3,126.0,6.1,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014-08-14,100000000,209461378,15879645.0,PG-13,Action
491,West Side Story,156.0,7.1,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez",2021-12-08,100000000,75011257,10574618.0,PG-13,Musical
492,West Side Story,153.0,7.6,Jerome Robbins,"Robert Wise, Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn",2021-12-08,100000000,75011257,10574618.0,PG-13,Musical
493,Treasure Planet,95.0,7.2,Ron Clements,"John Musker, Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne",2002-11-27,100000000,91800000,12083248.0,PG,Adventure
495,Green Zone,115.0,6.8,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor",2010-03-12,100000000,97523020,14309295.0,R,Drama
496,Geostorm,109.0,5.3,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",2017-10-13,100000000,220796009,13707376.0,PG-13,Thriller/Suspense
497,Point Break,122.0,7.3,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",2015-12-02,100000000,126704591,9800252.0,PG-13,Action
498,Point Break,114.0,5.3,Ericson Core,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015-12-02,100000000,126704591,9800252.0,PG-13,Action
499,Cats,110.0,2.8,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba",2019-12-17,100000000,75558925,6619870.0,PG,Musical
500,In the Heart of the Sea,122.0,6.9,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw",2015-11-26,100000000,89693309,11053366.0,PG-13,Adventure
501,Transcendence,119.0,6.2,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014-04-18,100000000,103039258,10886386.0,PG-13,Thriller/Suspense
502,Son of the Mask,94.0,2.3,Lawrence Guterman,"Jamie Kennedy, Traylor Howard, Alan Cumming, Liam Falconer",2005-02-18,100000000,59918422,7511675.0,PG,Adventure
503,Mortal Engines,128.0,6.1,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",2018-12-05,100000000,85480271,7559850.0,PG-13,Action
504,Chaos Walking,109.0,5.7,Doug Liman,"Tom Holland, Daisy Ridley, Demián Bichir, David Oyelowo",2021-02-03,100000000,27075660,3775350.0,PG-13,Action
505,The Last Duel,152.0,7.4,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter",2021-10-13,100000000,30055233,4759151.0,R,Drama
510,The Peanuts Movie,88.0,7.0,Steve Martino,"Noah Schnapp, Bill Melendez, Hadley Belle Miller, Francesca Capaldi",2015-11-05,99000000,250091610,44213073.0,G,Adventure
512,Robin Hood,140.0,6.6,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow",2018-11-21,99000000,85210012,36063385.0,PG-13,Action
513,Robin Hood,116.0,5.3,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",2018-11-21,99000000,85210012,36063385.0,PG-13,Action
514,Robin Hood,83.0,7.5,Wolfgang Reitherman,"David Hand, Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov",2018-11-21,99000000,85210012,36063385.0,PG-13,Action
515,The Mummy Returns,130.0,6.4,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",2001-05-04,98000000,435040395,68139035.0,PG-13,Adventure
517,Gangs of New York,167.0,7.5,Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent",2002-12-20,97000000,183124621,9496870.0,R,Drama
518,Alien: Covenant,122.0,6.4,Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",2017-05-04,97000000,238521247,36160621.0,R,Horror
519,Cinderella,112.0,4.4,Kay Cannon,"Camila Cabello, Billy Porter, Nicholas Galitzine, Idina Menzel",2015-03-06,95000000,542351353,67877361.0,PG,Drama
520,Cinderella,105.0,6.9,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter",2015-03-06,95000000,542351353,67877361.0,PG,Drama
521,Cinderella,74.0,7.3,Clyde Geronimi,"Wilfred Jackson, Hamilton Luske, Ilene Woods, James MacDonald, Eleanor Audley, Verna Felton",2015-03-06,95000000,542351353,67877361.0,PG,Drama
522,Ice Age: Continental Drift,88.0,6.5,Steve Martino,"Michael Thurmeier, Ray Romano, Denis Leary, John Leguizamo, Aziz Ansari",2012-06-27,95000000,879765137,46629259.0,PG,Adventure
523,Black Hawk Down,144.0,7.7,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",2001-12-28,95000000,159691085,179823.0,R,Action
524,Sex and the City 2,146.0,4.5,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2010-05-27,95000000,294680778,31001870.0,R,Comedy
525,Percy Jackson & the Olympians: The Lightning Thief,118.0,5.9,Chris Columbus,"Logan Lerman, Kevin McKidd, Steve Coogan, Brandon T. Jackson",2010-02-12,95000000,223050874,31236067.0,PG,Adventure
526,The Campaign,85.0,6.1,Jay Roach,"Will Ferrell, Zach Galifianakis, Jason Sudeikis, Dylan McDermott",2012-08-10,95000000,104907746,26588460.0,R,Comedy
527,Unstoppable,98.0,6.8,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",2010-11-12,95000000,165720921,22688457.0,PG-13,Action
529,The Road to El Dorado,89.0,6.9,Bibo Bergeron,"Don Paul, Jeffrey Katzenberg, Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",2000-03-31,95000000,65700000,12846652.0,PG,Adventure
530,The Lovely Bones,135.0,6.6,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009-12-11,95000000,94894448,116616.0,PG-13,Drama
531,Ben-Hur,212.0,8.1,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet",2016-06-30,95000000,91669648,11203815.0,PG-13,Adventure
532,Ben-Hur,123.0,5.7,Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi",2016-06-30,95000000,91669648,11203815.0,PG-13,Adventure
533,Seventh Son,102.0,5.5,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014-12-19,95000000,108874967,7217640.0,PG-13,Adventure
534,Finding Nemo,100.0,8.2,Andrew Stanton,"Lee Unkrich, Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",2003-05-30,94000000,936094852,70251710.0,G,Adventure
535,The Lord of the Rings: The Return of the King,201.0,9.0,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",2003-12-17,94000000,1120214046,72629713.0,PG-13,Adventure
536,The Lord of the Rings: The Two Towers,179.0,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",2002-12-18,94000000,919148764,62007528.0,PG-13,Adventure
537,Lara Croft: Tomb Raider,100.0,5.8,Simon West,"Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor",2001-06-15,94000000,273330185,47735743.0,PG-13,Adventure
538,Kingsman: The Secret Service,129.0,7.7,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",2015-01-29,94000000,404561724,36206331.0,R,Action
539,The Lord of the Rings: The Fellowship of the Ring,178.0,8.9,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",2001-12-19,93000000,891216824,47211490.0,PG-13,Adventure
540,Jurassic Park III,92.0,5.9,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola",2001-07-18,93000000,365900000,50771645.0,PG-13,Action
541,Rise of the Planet of the Apes,105.0,7.6,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011-08-05,93000000,470986200,54806191.0,PG-13,Adventure
542,The Spiderwick Chronicles,96.0,6.5,Mark Waters,"Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker",2008-02-14,92500000,162839667,19004058.0,PG,Adventure
543,The Incredibles,115.0,8.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee",2004-10-22,92000000,631441092,70467623.0,PG,Adventure
544,A Good Day to Die Hard,98.0,5.2,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",2013-02-06,92000000,304249198,24834845.0,R,Action
545,The Alamo,162.0,6.8,John Wayne,"John Wayne, Richard Widmark, Laurence Harvey, Frankie Avalon",2004-04-09,92000000,23911362,9124701.0,PG-13,Western
546,The Alamo,137.0,6.0,John Lee Hancock,"Dennis Quaid, Billy Bob Thornton, Emilio Echevarría, Jason Patric",2004-04-09,92000000,23911362,9124701.0,PG-13,Western
547,Cutthroat Island,124.0,5.7,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",1995-12-22,92000000,18517322,2371415.0,PG-13,Adventure
548,The Secret Life of Walter Mitty,114.0,7.3,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",2013-12-19,91000000,187861183,12765508.0,PG,Adventure
